ID_index,Date,Close
0,03-02-2023,101.87
1,02-02-2023,101.67
2,31-01-2023,100.72
3,27-01-2023,101.12
4,26-01-2023,100.87
5,25-01-2023,100.54
6,24-01-2023,100.86
7,23-01-2023,100.81
8,20-01-2023,100.40
9,19-01-2023,100.45
10,18-01-2023,101.24
11,17-01-2023,101.03
12,16-01-2023,100.79
13,13-01-2023,100.62
14,12-01-2023,100.39
15,11-01-2023,100.17
16,10-01-2023,99.79
17,06-01-2023,99.85
